State,Agency type,Agency name,Agency unit,"Race/Ethnicity/Ancestry",Religion,"Sexual_orientation",Disability,Gender,"Gender_identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,Auburn,,1,0,0,0,0,0,0,0,1,0,"14,293"
,,Avalon,,0,0,1,0,0,0,0,0,1,0,"3,676"
,,Azusa,,2,0,0,0,0,0,0,1,1,0,"50,373"
,,Bakersfield,,1,2,3,0,0,0,0,0,2,4,"388,265"
,,Bell,,1,0,0,0,0,0,0,1,0,0,"35,526"
,,Benicia,,2,0,0,0,0,0,0,1,1,0,"28,374"
,,Berkeley,,3,2,1,0,0,1,1,0,3,3,"122,346"
,,Beverly Hills,,1,2,2,0,0,0,1,0,2,2,"33,776"
,,Big Bear,,1,0,1,0,0,0,0,0,2,0,"5,305"
,,Brawley,,0,0,0,0,0,1,0,1,0,0,"26,363"
,,Buena Park,,0,0,0,1,0,0,0,0,0,1,"81,901"
,,Burbank,,6,1,0,0,0,0,0,0,2,5,"102,419"
,,Calabasas,,1,0,0,0,0,0,0,0,1,0,"23,897"
,,Calexico,,0,0,1,0,0,0,0,0,0,1,"39,957"
,,Camarillo,,2,0,0,0,0,0,0,0,1,1,"70,424"
,,Campbell,,3,0,0,0,0,0,0,1,0,2,"41,921"
,,Capitola,,0,0,0,0,0,1,1,0,0,0,"10,020"
,,Carlsbad,,2,1,0,1,0,0,1,3,0,0,"116,516"
,,Carson,,2,0,0,0,0,0,0,1,0,1,"91,372"
,,Cathedral City,,1,0,1,0,0,2,0,1,3,0,"55,417"
,,Central Marin,,5,2,0,0,0,0,0,0,3,4,"34,593"
,,Cerritos,,1,1,0,0,0,0,1,0,1,0,"49,952"
,,Chico,,2,0,0,0,0,0,0,1,1,0,"105,355"
,,Chino,,7,0,0,0,0,0,1,3,1,2,"96,309"
,,Chula Vista,,4,1,0,0,0,0,0,2,1,2,"278,027"
,,Citrus Heights,,3,1,0,0,0,0,0,0,3,1,"88,314"
,,Clearlake,,2,0,0,0,0,0,0,0,1,1,"15,268"
,,Clovis,,2,0,0,0,0,0,0,1,1,0,"116,809"
,,Coalinga,,1,0,0,0,0,0,0,0,1,0,"17,061"
,,Colusa,,1,0,0,0,0,0,0,1,0,0,"6,042"
,,Costa Mesa,,7,0,1,0,0,0,2,1,3,2,"113,317"
,,Covina,,3,0,0,0,0,0,2,0,1,0,"47,413"
,,Crescent City,,1,0,0,0,0,0,0,1,0,0,"6,706"
,,Culver City,,1,0,0,0,0,0,0,0,1,0,"39,218"
,,Cupertino,,0,1,0,0,0,0,0,1,0,0,"59,343"
,,Cypress,,1,0,0,0,0,0,0,0,0,1,"49,124"
,,Daly City,,1,0,0,0,0,0,0,0,1,0,"106,855"
,,Dana Point,,1,0,0,0,0,0,0,0,1,0,"33,604"
,,Davis,,11,2,3,0,0,0,4,2,5,5,"69,853"
,,Diamond Bar,,1,0,0,0,0,0,0,0,0,1,"55,735"
,,El Cajon,,1,0,1,0,0,1,1,1,1,0,"103,035"
,,El Cerrito,,4,0,0,0,0,0,1,1,1,1,"25,725"
,,Elk Grove,,3,2,0,0,0,0,2,0,2,1,"177,331"
,,El Monte,,2,0,0,0,0,1,0,2,1,0,"115,690"
,,Encinitas,,2,1,1,0,0,0,1,0,2,1,"63,055"
,,Escondido,,1,0,0,0,0,0,0,0,0,1,"152,446"
,,Eureka,,0,0,0,1,0,0,0,0,1,0,"26,656"
,,Fairfax,,1,2,0,0,0,1,0,1,0,3,"7,530"
,,Fairfield,,3,0,1,0,0,0,1,1,0,2,"118,491"
,,Fontana,,1,1,1,0,0,0,0,0,1,2,"216,553"
,,Fort Bragg,,1,0,0,0,0,0,0,1,0,0,"7,289"
,,Foster City,,1,0,0,0,0,0,1,0,0,0,"34,291"
,,Fountain Valley,,1,0,0,0,0,0,0,1,0,0,"55,345"
,,Fremont,,4,0,0,0,0,0,0,2,2,0,"244,259"
,,Fresno,,11,0,1,0,0,0,1,3,3,5,"535,472"
,,Fullerton,,0,0,1,0,0,0,0,0,1,0,"139,011"
,,Galt,,1,0,0,0,0,0,0,0,0,1,"26,867"
,,Gardena,,1,0,0,0,0,0,0,0,1,0,"59,385"
,,Garden Grove,,4,4,1,0,0,0,1,1,2,5,"171,698"
,,Grover Beach,,1,0,0,0,0,0,0,0,1,0,"13,491"
,,Hawaiian Gardens,,1,0,0,0,0,0,0,1,0,0,"14,146"
,,Hawthorne,,0,0,1,0,0,0,0,0,0,1,"86,269"
,,Hayward,,3,0,1,0,0,0,0,0,2,2,"160,891"
,,Healdsburg,,0,0,1,0,0,0,0,0,0,1,"11,907"
,,Hermosa Beach,,0,1,0,0,0,0,0,0,0,1,"19,300"
,,Hesperia,,0,1,0,0,0,0,0,0,0,1,"96,378"
,,Hillsborough,,1,0,0,0,0,0,0,1,0,0,"11,447"
,,Hollister,,0,0,1,0,0,0,0,1,0,0,"41,438"
,,Huntington Beach,,2,0,2,0,0,0,2,0,1,1,"200,128"
,,Indio,,0,2,0,0,0,0,0,0,1,1,"93,219"
,,Industry,,1,0,0,0,0,0,0,0,0,1,201
,,Irvine,,6,1,0,0,0,0,2,3,0,2,"297,069"
,,Jurupa Valley,,0,0,1,0,0,0,0,0,1,0,"111,198"
,,Laguna Hills,,0,0,1,0,0,0,0,1,0,0,"31,264"
,,La Habra,,0,0,1,0,0,0,0,1,0,0,"60,672"
,,Lake Forest,,1,0,0,0,0,0,1,0,0,0,"86,469"
,,Lakewood,,0,0,1,0,0,0,0,1,0,0,"79,222"
,,La Mesa,,1,0,0,0,0,0,0,1,0,0,"59,488"
,,La Mirada,,1,0,0,0,0,0,0,0,0,1,"48,144"
,,Lancaster,,8,0,0,0,0,0,2,3,3,0,"157,689"
,,Lodi,,1,0,0,0,0,0,0,0,1,0,"68,207"
,,Lomita,,1,0,0,0,0,0,0,0,1,0,"20,327"
,,Long Beach,,15,1,2,0,0,0,3,3,3,9,"462,654"
,,Los Altos,,0,1,0,0,0,0,0,0,0,1,"30,203"
,,Los Angeles2,,187,67,81,1,2,31,69,104,110,85,"4,000,587"
,,Los Gatos,,1,0,0,0,0,0,0,0,0,1,"30,271"
,,Malibu,,0,0,1,0,0,0,0,1,0,0,"11,736"
,,Manhattan Beach,,3,0,0,0,0,0,0,0,2,1,"35,190"
,,Martinez,,2,0,0,0,0,0,1,0,1,0,"38,543"
,,Mendota,,1,0,0,0,0,0,0,0,1,0,"11,531"
,,Menifee,,3,1,0,0,0,0,2,0,1,1,"96,837"
,,Merced,,2,0,0,0,0,0,0,0,2,0,"84,197"
,,Modesto,,7,0,4,0,0,0,1,0,3,7,"216,560"
,,Montclair,,0,1,0,0,0,0,0,0,1,0,"40,473"
,,Monterey,,4,1,0,0,0,0,1,2,2,0,"28,209"
,,Monterey Park,,1,0,0,0,0,0,0,0,0,1,"59,609"
,,Moorpark,,1,0,0,0,0,0,0,0,0,1,"36,573"
,,Moreno Valley,,1,0,0,0,0,0,0,1,0,0,"215,257"
,,Mountain View,,1,0,0,0,0,0,0,0,1,0,"83,745"
,,National City,,2,0,0,0,0,0,0,1,1,0,"61,710"
,,Norco,,1,0,0,0,0,0,1,0,0,0,"26,536"
,,Norwalk,,3,0,0,0,0,1,2,0,1,1,"103,774"
,,Novato,,6,0,0,0,0,0,2,2,2,0,"55,926"
,,Oakdale,,1,1,0,0,0,0,0,0,0,2,"23,926"
,,Oakland,,12,1,4,0,0,2,4,6,4,5,"437,923"
,,Oceanside,,7,0,0,0,0,0,0,2,3,2,"176,616"
,,Orange,,3,0,1,0,0,0,1,0,1,2,"138,846"
,,Oxnard,,1,0,0,0,0,0,0,1,0,0,"210,064"
,,Pacifica,,3,0,0,0,0,0,0,3,0,0,"38,677"
,,Pacific Grove,,2,0,0,0,0,0,0,0,2,0,"15,451"
,,Palmdale,,3,0,0,0,0,0,1,0,2,0,"155,321"
,,Palm Springs,,5,2,3,0,0,0,1,6,1,2,"48,952"
,,Palo Alto,,4,0,0,0,0,0,1,2,1,0,"65,459"
,,Paramount,,1,0,0,0,0,0,0,1,0,0,"53,939"
,,Pasadena,,4,0,0,0,0,1,2,2,1,0,"141,473"
,,Perris,,1,0,0,0,0,0,0,1,0,0,"80,526"
,,Petaluma,,5,0,1,0,0,0,1,2,2,1,"60,806"
,,Pico Rivera,,0,0,0,0,0,1,0,0,1,0,"61,925"
,,Pittsburg,,1,0,0,0,0,0,0,0,1,0,"73,673"
,,Placentia,,0,1,0,0,0,0,0,0,1,0,"51,260"
,,Pleasanton,,1,0,0,0,0,0,0,1,0,0,"83,164"
,,Poway,,1,1,1,0,0,0,1,1,0,1,"49,479"
,,Rancho Cordova,,1,0,0,0,0,0,0,0,1,0,"76,292"
,,Rancho Cucamonga,,4,0,0,0,0,0,2,2,0,0,"178,916"
,,Red Bluff,,4,0,0,0,0,0,2,0,0,2,"14,590"
,,Redding,,6,0,0,0,0,0,1,1,4,0,"92,895"
,,Redlands,,5,1,2,0,0,0,5,1,2,0,"71,820"
,,Redondo Beach,,1,0,0,0,0,0,0,0,1,0,"66,729"
,,Redwood City,,2,1,0,0,0,0,0,1,2,0,"86,983"
,,Rialto,,0,0,2,0,0,0,1,0,1,0,"104,004"
,,Richmond,,5,0,1,0,0,0,2,1,1,2,"111,367"
,,Ridgecrest,,1,0,0,0,0,0,0,0,1,0,"29,120"
,,Rio Dell,,0,1,0,0,0,0,1,0,0,0,"3,347"
,,Riverside,,9,2,3,0,0,0,7,1,3,3,"334,370"
,,Rohnert Park,,1,0,0,0,0,0,0,1,0,0,"43,572"
,,Rosemead,,0,0,2,0,0,0,0,0,1,1,"54,087"
,,Roseville,,8,1,0,0,0,0,1,4,3,1,"144,128"
,,Sacramento,,8,0,2,0,0,0,1,6,2,1,"519,050"
,,Salinas,,1,0,0,0,0,0,0,1,0,0,"155,984"
,,San Bernardino,,2,1,2,0,0,1,0,0,5,1,"216,365"
,,San Bruno,,1,0,0,0,0,0,0,1,0,0,"42,997"
,,San Clemente,,1,0,0,0,0,0,0,1,0,0,"64,665"
,,San Diego,,17,1,7,0,0,1,6,8,5,7,"1,437,608"
,,San Francisco,,37,7,8,0,0,2,14,6,18,16,"881,514"
,,San Gabriel,,0,0,0,0,0,1,0,0,1,0,"39,927"
,,San Jose,,75,9,9,0,0,1,18,37,23,16,"1,029,542"
,,San Leandro,,1,0,0,0,0,0,0,1,0,0,"89,239"
,,San Luis Obispo,,10,0,1,0,0,0,2,3,5,1,"47,722"
,,San Marcos,,2,1,0,0,0,0,0,0,2,1,"98,198"
,,San Mateo,,1,0,0,0,0,0,0,1,0,0,"105,246"
,,San Pablo,,1,0,0,0,0,0,1,0,0,0,"31,164"
,,San Rafael,,3,1,0,0,0,0,1,2,1,0,"58,512"
,,San Ramon,,2,0,0,0,0,0,0,0,2,0,"76,502"
,,Santa Ana,,5,8,2,0,0,1,0,3,4,9,"333,107"
,,Santa Barbara,,0,0,0,0,0,1,0,0,0,1,"91,692"
,,Santa Clarita,,4,0,0,0,0,0,0,0,3,1,"221,932"
,,Santa Cruz,,3,0,2,0,0,1,0,1,4,1,"65,073"
,,Santa Maria,,0,1,1,0,0,0,1,0,1,0,"108,140"
,,Santa Monica,,11,0,1,0,0,0,1,6,3,2,"90,474"
,,Santa Rosa,,6,4,1,0,0,0,0,0,8,3,"176,932"
,,Santee,,3,0,0,0,0,0,0,1,1,1,"58,598"
,,Sausalito,,0,1,0,0,0,0,0,1,0,0,"7,080"
,,Sierra Madre,,2,0,0,0,0,0,0,2,0,0,"10,779"
,,Signal Hill,,1,0,0,0,0,0,0,1,0,0,"11,467"
,,Simi Valley,,4,0,1,0,0,0,2,0,1,2,"125,742"
,,South Gate,,1,0,1,0,0,0,1,0,1,0,"93,336"
,,South Lake Tahoe,,1,0,2,0,0,0,0,0,3,0,"22,286"
,,South San Francisco,,0,0,1,0,0,0,0,0,0,1,"68,260"
,,Stockton,,5,0,1,0,0,0,2,2,1,1,"314,981"
,,Sunnyvale,,6,1,0,0,0,1,3,0,4,1,"154,133"
,,Tehachapi,,1,0,0,0,0,0,0,1,0,0,"12,873"
,,Temecula,,0,0,0,0,0,1,0,0,1,0,"116,442"
,,Thousand Oaks,,2,0,0,0,0,0,0,0,2,0,"126,823"
,,Torrance,,10,0,1,0,0,0,1,5,3,2,"143,421"
,,Tracy,,1,2,0,0,0,0,0,1,1,1,"96,067"
,,Tulare,,0,1,0,0,0,0,0,0,1,0,"66,207"
,,Turlock,,1,1,0,0,0,0,0,0,1,1,"74,183"
,,Union City,,2,0,0,0,0,0,0,1,1,0,"74,625"
,,Vacaville,,3,0,0,0,0,0,0,2,0,1,"101,616"
,,Vallejo,,7,0,0,0,0,0,0,3,3,1,"122,326"
,,Ventura,,3,0,0,0,0,1,1,0,2,1,"109,295"
,,Vernon,,0,1,0,0,0,0,1,0,0,0,110
,,Victorville,,2,0,0,0,0,0,1,1,0,0,"123,085"
,,Visalia,,0,1,0,0,0,0,1,0,0,0,"135,733"
,,Vista,,4,1,0,0,0,0,0,3,1,1,"102,600"
,,Walnut Creek,,7,0,2,0,0,0,2,3,3,1,"70,849"
,,West Covina,,2,0,0,0,0,0,1,0,0,1,"104,989"
,,West Hollywood,,4,1,2,0,0,0,1,1,2,3,"36,719"
,,Westminster,,6,0,0,0,0,0,2,2,1,1,"90,741"
,,Woodland,,1,0,0,0,0,0,0,0,0,1,"61,123"
,,Yorba Linda,,1,1,0,0,0,0,0,1,1,0,"68,017"
,,Yuba City,,4,0,0,0,0,0,0,0,3,1,"67,165"
,,Yucaipa,,0,0,1,0,0,0,0,1,0,0,"54,200"
,,Yucca Valley,,1,0,0,0,0,0,0,0,0,1,"21,901"
,Universities and Colleges,,,11,3,0,0,0,0,,,,,
,,California State University,San Marcos,2,0,0,0,0,0,0,1,1,0,"17,136"
,,Riverside Community College,,1,0,0,0,0,0,1,0,0,0,"62,345"
,,Sonoma County Junior College,,1,0,0,0,0,0,0,1,0,0,"29,046"
,,University of California:,Irvine,3,1,0,0,0,0,2,1,0,1,"38,105"
,,,Los Angeles,3,2,0,0,0,0,2,1,1,1,"47,103"
,,,San Diego,1,0,0,0,0,0,0,0,0,1,"39,811"
,Metropolitan Counties,,,73,15,17,0,1,0,,,,,
,,Alameda,,1,0,1,0,0,0,1,0,1,0,
,,Butte,,0,0,1,0,0,0,0,0,1,0,
,,Contra Costa,,1,0,0,0,0,0,0,0,0,1,
,,El Dorado,,1,1,0,0,0,0,2,0,0,0,
,,Fresno,,0,1,0,0,0,0,0,0,1,0,
,,Kern,,1,0,2,0,0,0,0,1,1,1,
,,Los Angeles,,21,1,4,0,0,0,5,5,12,4,
,,Marin,,1,0,0,0,0,0,0,1,0,0,
,,Monterey,,0,1,0,0,0,0,0,1,0,0,
,,Orange,,2,5,0,0,0,0,4,1,2,0,
,,Sacramento,,2,0,0,0,0,0,0,1,0,1,
,,San Bernardino,,6,0,0,0,0,0,0,2,2,2,
,,San Diego,,12,3,3,0,1,0,5,5,4,5,
,,San Luis Obispo,,1,0,0,0,0,0,0,0,0,1,
,,San Mateo,,5,0,2,0,0,0,4,1,1,1,
,,Santa Barbara,,1,0,0,0,0,0,0,1,0,0,
,,Santa Clara,,3,3,0,0,0,0,4,1,1,0,
,,Santa Cruz,,6,0,1,0,0,0,0,0,4,3,
,,Shasta,,0,0,1,0,0,0,0,0,1,0,
,,Sonoma,,4,0,2,0,0,0,1,4,1,0,
,,Stanislaus,,2,0,0,0,0,0,1,1,0,0,
,,Yolo,,1,0,0,0,0,0,0,1,0,0,
,,Yuba,,2,0,0,0,0,0,0,2,0,0,
,Nonmetropolitan Counties,,,2,2,1,0,0,2,,,,,
,,Amador,,0,0,1,0,0,2,0,3,0,0,
,,Lake,,1,0,0,0,0,0,0,1,0,0,
,,Lassen,,1,0,0,0,0,0,0,0,0,1,
,,Nevada,,0,1,0,0,0,0,0,0,0,1,
,,Tuolumne,,0,1,0,0,0,0,0,0,1,0,
,Other Agencies,,,6,1,4,1,0,0,,,,,
,,Department of Parks and Recreation,Bay Area,1,0,0,0,0,0,1,0,0,0,
,,East Bay Regional Park District,,1,0,2,0,0,0,0,1,2,0,
,,Los Angeles Transportation Services Bureau,,2,0,0,0,0,0,0,0,1,1,
,,Porterville Developmental Center,,1,0,0,0,0,0,0,0,1,0,
,,Port of San Diego Harbor,,0,0,1,0,0,0,1,0,0,0,
,,San Francisco Bay Area Rapid Transit:,Alameda County,0,0,1,0,0,0,0,1,0,0,
,,,Contra Costa County,0,0,0,1,0,0,0,1,0,0,
,,Santa Clara Transit District,,1,1,0,0,0,0,1,1,0,0,
Colorado,Total,,,184,35,49,5,0,10,,,,,
,Cities,,,154,25,39,2,0,6,,,,,
,,Aurora,,13,0,1,0,0,0,0,7,4,3,"385,720"
,,Avon,,1,0,0,0,0,0,0,1,0,0,"6,526"
,,Blue River,,1,0,0,0,0,0,0,1,0,0,929
,,Boulder,,8,1,1,0,0,0,3,4,2,1,"106,598"
,,Brighton,,0,1,0,0,0,0,0,0,1,0,"42,536"
,,Broomfield,,2,1,0,0,0,0,0,0,1,2,"71,795"
,,Canon City,,3,0,0,0,0,0,1,0,2,0,"16,761"
,,Castle Rock,,5,0,0,0,0,0,0,3,1,1,"71,150"
,,Centennial,,8,2,0,0,0,0,2,5,2,1,"112,104"
,,Colorado Springs,,15,2,3,0,0,0,4,3,11,2,"485,083"
,,Craig,,0,0,1,0,0,0,1,0,0,0,"8,975"
,,Crested Butte,,1,0,0,0,0,0,0,0,1,0,"1,751"
,,Cripple Creek,,1,0,0,0,0,0,0,0,1,0,"1,261"
,,Denver,,47,7,21,1,0,4,10,21,24,25,"737,709"
,,Durango,,2,0,1,0,0,0,0,1,1,1,"19,220"
,,Empire,,1,0,0,0,0,0,1,0,0,0,307
,,Englewood,,1,0,0,0,0,0,0,0,1,0,"35,464"
,,Erie,,1,1,0,0,0,0,2,0,0,0,"28,198"
,,Estes Park,,1,0,0,0,0,0,0,0,1,0,"6,480"
,,Fort Collins,,2,1,0,0,0,0,0,2,1,0,"173,274"
,,Fort Morgan,,1,0,0,0,0,0,0,1,0,0,"11,471"
,,Glendale,,0,1,0,0,0,0,0,1,0,0,"5,243"
,,Golden,,0,0,1,0,0,0,1,0,0,0,"20,981"
,,Grand Junction,,2,0,1,0,0,0,0,3,0,0,"64,149"
,,Greeley,,0,0,1,0,0,0,0,0,0,1,"110,505"
,,Hudson,,3,0,0,0,0,0,0,1,1,1,"2,817"
,,Johnstown,,1,0,0,0,0,0,0,1,0,0,"15,932"
,,Lafayette,,0,0,1,0,0,0,0,0,0,1,"31,457"
,,Lakewood2,,3,1,2,0,0,1,1,2,3,0,"159,719"
,,Littleton,,1,0,0,0,0,0,0,0,1,0,"48,805"
,,Longmont,,5,0,0,0,0,1,2,1,1,2,"98,545"
,,Louisville,,1,0,0,0,0,0,0,0,1,0,"21,101"
,,Montrose,,2,0,0,0,0,0,0,1,1,0,"19,864"
,,Monument,,0,1,0,0,0,0,0,0,1,0,"8,361"
,,Northglenn,,0,0,1,0,0,0,0,1,0,0,"39,161"
,,Parker,,2,0,0,0,0,0,0,2,0,0,"59,245"
,,Pueblo,,9,0,0,0,0,0,1,0,6,2,"113,002"
,,Rifle,,1,0,0,0,0,0,1,0,0,0,"9,747"
,,Steamboat Springs,,0,4,0,0,0,0,2,0,2,0,"13,345"
,,Telluride,,1,0,0,0,0,0,1,0,0,0,"2,508"
,,Thornton,,4,1,2,0,0,0,1,2,1,3,"144,156"
,,Trinidad,,1,0,0,0,0,0,0,1,0,0,"8,114"
,,Vail,,1,0,0,0,0,0,0,0,1,0,"5,450"
,,Westminster,,2,1,1,0,0,0,0,1,2,1,"113,941"
,,Wheat Ridge,,0,0,1,0,0,0,0,0,0,1,"31,451"
,,Woodland Park,,1,0,0,1,0,0,0,1,0,1,"7,969"
,Universities and Colleges,,,1,3,1,0,0,0,,,,,
,,University of Colorado,Boulder,1,3,1,0,0,0,1,2,2,0,"40,353"
,Metropolitan Counties,,,23,6,6,3,0,3,,,,,
,,Adams,,4,0,0,0,0,0,1,1,2,0,
,,Arapahoe,,8,3,2,0,0,1,1,3,6,4,
,,Boulder,,2,0,0,0,0,0,0,0,1,1,
,,Douglas,,3,0,1,3,0,0,3,2,2,0,
,,El Paso,,0,0,1,0,0,0,1,0,0,0,
,,Jefferson2,,5,2,0,0,0,1,2,3,2,0,
,,Larimer,,1,0,1,0,0,0,0,0,2,0,
,,Park,,0,1,0,0,0,0,1,0,0,0,
,,Pueblo,,0,0,0,0,0,1,0,1,0,0,
,,Weld,,0,0,1,0,0,0,1,0,0,0,
,Nonmetropolitan Counties,,,6,1,3,0,0,1,,,,,
,,Crowley,,1,0,0,0,0,0,0,0,1,0,
,,Custer,,0,0,1,0,0,0,1,0,0,0,
,,Fremont,,0,0,1,0,0,0,0,1,0,0,
,,Garfield,,2,0,0,0,0,0,0,0,1,1,
,,Gunnison,,0,0,1,0,0,0,0,1,0,0,
,,Las Animas,,0,0,0,0,0,1,1,0,0,0,
,,Montrose,,0,1,0,0,0,0,0,1,0,0,
,,Routt,,1,0,0,0,0,0,0,1,0,0,
,,Summit,,2,0,0,0,0,0,0,0,2,0,
Connecticut,Total,,,65,18,15,4,0,0,,,,,
,Cities,,,63,15,15,4,0,0,,,,,
,,Bethel,,1,0,1,0,0,0,0,2,0,0,"19,932"
,,Bridgeport,,0,0,3,0,0,0,1,0,2,0,"144,350"
,,Coventry,,2,0,0,0,0,0,1,1,0,0,"12,404"
,,Danbury,,4,0,0,0,0,0,2,0,0,2,"85,080"
,,Derby,,1,1,0,0,0,0,1,0,1,0,"12,281"
,,East Haven,,1,0,0,0,0,0,0,1,0,0,"28,498"
,,East Lyme,,0,1,0,0,0,0,0,1,0,0,"18,391"
,,Enfield,,2,0,0,1,0,0,3,0,0,0,"43,551"
,,Fairfield,,0,0,2,0,0,0,2,0,0,0,"62,311"
,,Glastonbury2,,7,1,0,1,0,0,0,4,0,4,"34,487"
,,Groton,,1,0,0,0,0,0,0,0,1,0,"8,861"
,,Hartford,,2,0,0,0,0,0,1,1,0,0,"121,749"
,,Manchester,,2,1,0,0,0,0,2,1,0,0,"57,510"
,,Middletown,,1,0,1,0,0,0,0,0,1,1,"46,106"
,,Naugatuck,,2,1,0,0,0,0,1,2,0,0,"31,024"
,,New Britain,,8,2,0,1,0,0,1,2,5,3,"72,412"
,,New Haven,,7,3,1,0,0,0,2,3,4,2,"130,299"
,,North Branford,,1,0,0,0,0,0,0,1,0,0,"14,115"
,,Norwalk,,1,0,0,0,0,0,0,0,1,0,"89,140"
